Model,Fold,MAE,RMSE,RMSSE
Random Forest,1,256.7502363506027,319.32250052432,0.37049326151124984
Holt-Winters,1,303.8475182441246,378.5339484855625,0.43919321982281145
Seasonal Naive 28,1,358.17857142857144,427.1314200571061,0.49557833428915055
Seasonal Naive 7,1,522.3571428571429,612.2164066499922,0.7103228018007399
Naive,1,1683.2142857142858,1830.5548144132229,2.1238973841601316
Random Forest,2,320.2126513864182,391.860092585702,0.4544760938034418
Holt-Winters,2,276.93746210380226,412.82808630380094,0.47879459946452174
Seasonal Naive 7,2,391.42857142857144,501.13214681501785,0.581208918369281
Seasonal Naive 28,2,450.2857142857143,610.2701977695734,0.7077863270455664
Naive,2,1770.0,1969.7858114163434,2.2845412894556314
Random Forest,3,221.09933746742755,278.42994624719756,0.32146645751170666
Holt-Winters,3,273.34596784719696,340.33223973296947,0.3929368983422838
Seasonal Naive 28,3,330.82142857142856,437.69962792503526,0.5053542219137982
Seasonal Naive 7,3,459.17857142857144,655.4670908160509,0.7567816843704931
Naive,3,862.75,966.6322797660516,1.1160432233714344
